composition,Tc_sim,Tc_exp,contains_rare_earth,use_for_emb
Er2CdCu2,36.0,36.0,True,True
Er2Co,16.0,16.0,True,True
Er2Co12As7,,116.0,True,True
Er2Co12P7,,146.0,True,True
Er2Co17,,1172.75,True,True
Er2Co4H7,,25.0,True,True
Er2Co7,,646.0,True,True
Er2Co7B3,,320.0,True,True
Er2CoSi2,,50.0,True,True
Er2CrSbO7,,10.0,True,True
Er2Fe10Co4B,,803.0,True,True
Er2Fe11Co3B,,735.0,True,True
Er2Fe12Co2B,,698.0,True,True
Er2Fe13CoB,,623.0,True,True
Er2Fe14B,,552.5,True,True
Er2Fe14B1H3.7,,588.0,True,True
Er2Fe14C,,507.5,True,True
Er2Fe14Si3,498.0,,True,True
Er2Fe17,302.0,310.0,True,True
Er2Fe17C,,488.0,True,True
Er2Fe17C0.4Ny,,712.0,True,False
Er2Fe17C0.6Ny,,706.0,True,False
Er2Fe17C0.8Ny,,709.0,True,False
Er2Fe17C1.0Ny,,701.0,True,False
Er2Fe17C1.5Ny,,698.0,True,False
Er2Fe17C2,,675.0,True,True
Er2Fe17C2.4,,708.0,True,True
Er2Fe17C2.5,,671.0,True,True
Er2Fe17C3,,663.0,True,True
Er2Fe17CNy,,723.0,True,False
Er2Fe17CxNy,,700.0,True,False
Er2Fe17Cy,,669.0,True,False
Er2Fe17H,,378.0,True,True
Er2Fe17H2,,428.0,True,True
Er2Fe17H3,,476.0,True,True
Er2Fe17H3.8,,498.0,True,True
Er2Fe17N2.5,,693.5,True,True
Er2Fe17N2.7,,695.25,True,True
Er2Fe17N3,,697.0,True,True
Er2Fe17Ny,,683.0,True,False
Er2Fe20Mo3,,381.0,True,True
Er2Fe4Co13,,1190.0,True,True
Er2Fe4H7,,357.5,True,True
Er2Fe9Co5B,,840.5,True,True
Er2Ga2.5Ni1.5,,4.1,True,True
Er2Ga2Co15,,932.0,True,True
Er2Ga3Co14,,793.0,True,True
Er2Ga4Co13,,602.0,True,True
Er2Ga5Co12,,396.0,True,True
Er2Ga6Co11,,251.0,True,True
Er2Ga7Co10,,128.0,True,True
Er2Ga8Co9,,25.0,True,True
Er2GaCo16,,1069.0,True,True
Er2GaCo2,25.5,,True,True
Er2GaNi2,7.1,,True,True
Er2Ge2Ru,,18.8,True,False
Er2GeRh3,21.0,20.0,True,False
Er2In,,46.0,True,True
Er2InCu2,35.7,,True,True
Er2MgS4,290.0,,True,True
Er2MgSe4,301.0,,True,True
Er2Mn2Co15,,982.0,True,True
Er2Mn2Fe2Co13,,998.0,True,True
Er2Mn2O7,,35.0,True,True
Er2Mn3Si5,,55.0,True,True
Er2Mn4Co13,,678.0,True,True
Er2Mn6Co11,,383.0,True,True
Er2MnFe3Co13,,1090.0,True,True
Er2MnNiO6,,84.0,True,True
Er2Ni17,,166.0,True,True
Er2Ni2Pb,,6.0,True,True
Er2Ni7,,74.0,True,True
Er2Si0.4Ni2.6,,7.0,True,True
Er2TiMnO7,,25.5,True,True
Er2V1.5Co15.5,,833.0,True,True
Er2Zn3,,20.0,True,True
Er3(AlNi3)2,,7.8,True,False
Er3(Co2Sn)4,,50.0,True,False
Er3Al(FeO3)4,,420.0,True,False
Er3Al2Co7,,84.0,True,True
Er3AlC,,4.125,True,True
Er3AlCo,,10.3,True,True
Er3AlCu,13.3,,True,True
Er3Co,13.0,10.4,True,True
Er3Co11B4,,350.0,True,True
Er3Co2.2Si1.8,,28.0,True,True
Er3Co29(Si2B5)2,,188.0,True,False
Er3CoNi,11.5,15.0,True,True
Er3Cr2Fe27,,401.0,True,True
Er3Cr3Fe26,,390.0,True,True
Er3Cr4Fe25,,356.0,True,True
Er3CrFe28,,393.0,True,True
Er3Fe29,,316.0,True,True
Er3Fe5O12,,553.7,True,True
Er3Ge13Pt4,,2.2,True,True
Er3In,,51.0,True,True
Er3Nb6Fe68B23,,440.0,True,True
Er3Ni2,17.0,,True,True
Er3Pd2,10.0,18.0,True,True
Er3Rh2,,8.0,True,False
Er3Si11Pt23,3.4,3.39,True,True
Er3VFe28,,408.0,True,True
Er4CdCo,,12.5,True,True
Er4CdNi,5.9,,True,True
Er4Co3,,25.0,True,True
Er4CrGa12,,2.8,True,True
Er4Fe34C5,,671.0,True,True
Er4MgPd,18.75,,True,True
Er4MgPt,15.0,,True,True
Er4Th,,48.0,True,True
Er5(In2Pd)2,,16.5,True,False
Er5(TiFe9)6,,500.0,True,False
Er55(Al3Cu2)9,11.0,11.0,True,False
Er55(Al3Ni2)9,,11.3,True,False
Er5Al11,,11.0,True,True
Er5Bi2Pt,,20.0,True,True
Er5Mn10H23,,1.5,True,True
Er5Nb6Fe66B23,,370.0,True,True
Er5Ni3,,35.0,True,True
Er5Sb2Pt,,19.0,True,True
Er5Sb3,,15.0,True,True
Er5Si3B,,14.0,True,True
Er5Si4,30.0,27.5,True,True
Er6(MnH)23,,4.2,True,False
Er6Cd5,,14.0,True,True
Er6CoBi2,,16.0,True,True
Er6CoNi3,11.5,11.5,True,True
Er6CoTe2,,30.5,True,True
Er6Fe23,,493.0,True,True
Er6FeBi2,,9.5,True,True
Er6FeSb2,,13.0,True,True
Er6Mn23,,415.0,True,True
Er6MnBi2,,52.5,True,True
Er6MnSb2,,57.5,True,True
Er7Fe3,,35.0,True,True
Er7Nb6Fe65B23,,340.0,True,True
Er8.6Co71.4B20,,640.0,True,True
Er8Tm6Al5Co6,11.0,,True,True
Er9Th,,74.0,True,True
ErAl2,12.0,14.0,True,True
ErAl2Ni,5.1,4.5,True,True
ErAl4O3,,20.0,True,True
ErAl7Fe5,,218.0,True,True
ErAlAg,14.0,14.0,True,True
ErAlCo,,23.5,True,True
ErAlCo4,,682.0,True,True
ErAlCu,,17.0,True,True
ErAlFe,55.0,56.0,True,True
ErAlGa,,3.0,True,True
ErAlNi,,15.0,True,True
ErAu4,,5.0,True,True
ErB2Ru3,,32.0,True,False
ErC,,50.0,True,True
ErCd,,3.3,True,True
ErCo10SiMo,,545.0,True,True
ErCo2,34.0,33.6,True,True
ErCo3,,415.5,True,True
ErCo3B2,,20.0,True,True
ErCo3Sn,,47.0,True,True
ErCo4B,,386.5,True,True
ErCo4Si,,350.0,True,True
ErCo5,,1066.0,True,True
ErCo80B19,,706.0,True,True
ErCo9Si2,,415.0,True,True
ErCoNi,23.0,,True,True
ErCrO4,,15.0,True,True
ErCu4Ag,,8.0,True,True
ErFe10Si2Hx,,540.0,True,False
ErFe10Si2Nx,,623.0,True,False
ErFe11.5Ta0.5Hx,,560.0,True,False
ErFe2,,590.0,True,True
ErFe2(Co4Mo)2,,610.0,True,False
ErFe2Hx,,265.0,True,False
ErFe3,,551.0,True,True
ErFe4(Co3Mo)2,,550.0,True,False
ErFe4B,,620.0,True,True
ErFe6(Co2Mo)2,,510.0,True,False
ErFe8(CoMo)2,,450.0,True,False
ErFeSi,21.5,22.0,True,True
ErGa,31.0,32.0,True,True
ErGa2FeCo2,,320.0,True,True
ErGa2Ni,,16.2,True,True
ErGa7Co5,,293.0,True,True
ErGaCo4,,505.0,True,True
ErGaFe,,77.0,True,True
ErGePd2,,3.0,True,True
ErGeRu,,8.0,True,False
ErInNi,9.0,9.0,True,True
ErInPd,,11.65,True,True
ErInPt,10.75,15.0,True,True
ErIr2,,3.0,True,True
ErMg,,16.0,True,True
ErMn12,,4.0,True,True
ErMn2,,20.0,True,True
ErMn5,,415.0,True,True
ErMn5Fe7,,100.0,True,True
ErMn6(Sn2Ge)2,,140.0,True,False
ErMn6GaGe5,,377.0,True,True
ErMn6InSn5,,307.0,True,True
ErMn7Fe5,,8.0,True,True
ErMnCo2,,222.0,True,True
ErN,,6.25,True,True
ErNb6Fe70B23,,458.0,True,True
ErNi,11.0,11.0,True,True
ErNi2,6.6,8.2,True,True
ErNi2B2C,6.1,2.3,True,True
ErNi3,,64.0,True,True
ErNi4Au,,24.0,True,True
ErNi4B,,10.0,True,True
ErNi5,9.0,9.2,True,True
ErNiBC,,5.0,True,True
ErOs2,,3.4,True,True
ErPd3S4,,0.65,True,True
ErPt,,16.0,True,True
ErPt2,,3.6,True,True
ErRh2,,6.0,True,False
ErRu2,,13.0,True,False
ErSi2,,4.25,True,True
ErSi2Rh3,,24.0,True,False
ErSiNi2,,7.0,True,True
ErSiNi4,,7.4,True,True
ErSiPd2,,2.8,True,True
ErSiRu,8.0,,True,False
ErTiAl3Co8,,760.0,True,True
ErTiAlCo10,,885.0,True,True
ErTiCo11,,1034.0,True,True
ErTiFe11,,510.0,True,True
ErTiFe11H,,574.0,True,True
ErTiFe11N,,723.0,True,True
ErTiFe8Co3,,796.0,True,True
ErVCo10Mo,,440.0,True,True
ErVO3,,108.0,True,True
ErZn,20.0,20.0,True,True
ErZn2,9.0,,True,True
ErZrSb,,11.0,True,True
Et1.12Mn0.86P1S3N0.28,,40.0,False,True
Et1.2Mn0.68Cd0.17P1S3N0.3,,16.0,False,True
Eu,,0.0,True,True
Eu(Al2Fe)4,,137.0,True,False
Eu(AlFe)6,,135.0,True,False
Eu(AlGe)2,27.5,,True,False
Eu(AlSi)2,35.5,,True,False
Eu(Co7S3)10,,16.0,True,False
Eu(CoP)2,,67.0,True,False
Eu(CoSi)2,,37.0,True,False
Eu(CrAs)2,,21.0,True,False
Eu(CrS2)2,,85.0,True,False
Eu(CrSe2)2,,155.0,True,False
Eu(Cu2As)2,35.0,35.0,True,False
Eu(CuP)2,,51.0,True,False
Eu(FeP)2,,27.75,True,False
Eu(FeP3)4,,99.0,True,False
Eu(FeSb3)4,,88.0,True,False
Eu(GdS2)2,,6.0,True,False
Eu(GeRu)2,,62.0,True,False
Eu(H2N)2,,5.4,True,False
Eu(InP)2,,24.0,True,False
Eu(MgH3)2,27.2,27.2,True,False
Eu(MnAl2)4,,20.0,True,False
Eu(MnGe)2,,9.0,True,False
Eu(NbS2)2,,15.0,True,False
Eu(P3Os)4,,15.0,True,False
Eu(P3Ru)4,,17.8,True,False
Eu(PRu)2,,29.0,True,False
Eu(Sb3Os)4,,9.0,True,False
Eu(Sb3Ru)4,,3.3,True,False
Eu(SiAu)2,,15.5,True,False
Eu-Sr,,84.0,True,False
Eu0.007Cr0.089Sn0.911Te1,,276.0,True,True
Eu0.015Zn0.985O1,,717.0,True,True
Eu0.01Cr0.077Sn0.923Te1,,275.0,True,True
Eu0.01Zn0.99O1,643.0,643.0,True,True
Eu0.02Zn0.98O1,,718.0,True,True
Eu0.03Zn0.97O1,726.0,726.0,True,True
Eu0.05Mn0.8Zn0.2Fe1.95O4,,630.0,True,True
Eu0.05Zn0.95O1,,300.0,True,True
Eu0.0625Zn0.9375O1,720.0,,True,True
Eu0.1Bi1.9Se3,,8.0,True,True
Eu0.1Fe2Co0.9O4,,656.15,True,True
Eu0.21Bi1.79Se3,,64.0,True,False
Eu0.2Au0.8,,4.2,True,True
Eu0.75Ag0.25,,37.0,True,True
Eu0.75Cd0.25,,134.0,True,True
Eu0.75Zn0.25,,134.0,True,True
Eu0.7Mg0.3,,131.0,True,True
Eu0.7Mn1Pb0.3O3,,235.0,True,True
Eu0.7Zn0.3,,133.0,True,True
Eu0.81Ag0.19,,70.0,True,True
Eu1+xO,,69.0,True,False
Eu1.7Fe5Bi1.3O12,,480.0,True,True
Eu100Si133Ag67,,34.0,True,True
Eu10O9F,,66.0,True,True
Eu14CdAs11,,30.0,True,True
Eu14MnAs11,52.0,74.0,True,True
Eu14MnP11,74.0,52.0,True,True
Eu14MnSb11,92.0,100.0,True,True
Eu1Al2.75Zn1.25,25.0,25.0,True,True
Eu1Al2.96Si1.04,,17.0,True,True
Eu1Cu1.8P2,,44.0,True,True
Eu1Cu3.8P2,32.0,,True,True
Eu1Fe2As1.62P0.38,,19.0,True,True
Eu1Mn0.5Co0.5O3,,123.0,True,True
Eu1Sc0.2Ti0.8O3,,3.4,True,True
Eu1Si1.33Ag0.67,,34.0,True,True
Eu1Ti0.85Al0.15O3,,4.0,True,True
Eu1Ti0.95Al0.05O3,,4.5,True,True
Eu1Ti0.95Ni0.05O3,,5.5,True,True
Eu1Ti0.96Cr0.04O3,,6.2,True,True
Eu1Ti0.98Cr0.02O3,,5.2,True,True
Eu1Ti0.9Al0.1O3,,4.0,True,True
Eu1Ti0.9Cr0.1O3,,9.7,True,True
Eu1Ti0.9Ni0.1O3,,5.5,True,True
Eu1W1N1.42O1.58,,20.0,True,True
Eu1Zn0.8Rh1.2,95.0,,True,False
Eu2(CuNi)5,,59.6,True,False
Eu2.73Fe5Bi0.27O12,,480.0,True,True
Eu20Ni42As31,,23.0,True,True
Eu24GdO25,,132.5,True,True
Eu2Co12As7,,136.0,True,True
Eu2Co12P7,,151.0,True,True
Eu2CrSbO7,,4.0,True,True
Eu2Cu6P5,,36.0,True,True
Eu2CuSi3,,34.0,True,True
Eu2Fe5BiO12,,480.0,True,True
Eu2H5Ir,,20.0,True,True
Eu2In,,55.0,True,True
Eu2Mg17,,16.0,True,True
Eu2MgH6,,31.6,True,True
Eu2MnCoO6,,126.65,True,True
Eu2MnNiO6,,145.0,True,True
Eu2O3(1−x)Na2B4O7,,20.0,True,False
Eu2Si3Pd,,40.0,True,True
Eu2Si5N8,24.0,,True,True
Eu2Si5Pt3,,5.5,True,True
Eu2SiN3,13.0,,True,True
Eu2SiO4,,7.0,True,True
Eu2Zn2P3,,25.0,True,True
Eu3(BO3)2,,8.0,True,False
Eu3(PO4)2,,5.0,True,False
Eu3Al2O6,,10.0,True,True
Eu3As2,,18.0,True,True
Eu3Fe5O12,,564.75,True,True
Eu3Ge11Pt23,,3.6,True,True
Eu3InO,210.0,185.0,True,True
Eu3O4,,42.4,True,True
Eu3S4,3.1,3.8,True,True
Eu3Si11Pt23,,5.54,True,True
Eu3Si4,,120.0,True,True
Eu3SiO5,,19.0,True,True
Eu4As3,18.0,17.75,True,True
Eu4Ga6Ge17,20.4,,True,True
Eu4Ga6Si2Ge15,20.0,,True,True
Eu4Ga7Ge16,27.0,,True,True
Eu4Ga8Ge15,11.0,34.7,True,True
Eu4Ga8Si2Ge13,31.0,,True,True
Eu4MgPd,150.0,,True,True
Eu4MnGa7Ge15,29.9,29.9,True,True
Eu4P2.67,,25.0,True,True
Eu5(InSb3)2,,15.0,True,False
Eu5Al2O8,,6.0,True,True
Eu7Cu44As23,,17.3,True,True
Eu8Ga14.6Si6.4Ge23.2,,32.8,True,True
Eu8Ga14.7Si3.7Ge26.1,,34.5,True,True
Eu8Ga15.1Si7.3Ge22.7,,32.6,True,True
Eu8Ga15.2Ge29.8,,36.2,True,True
Eu8Ga15CoGe30,,31.1,True,True
Eu8Ga15NiGe30,32.5,,True,True
Eu8Ga16Ge30 (Type-VIII),10.5,,True,False
Eu8Ga16Ge30/EuO,70.0,,True,False
Eu8Mn(GaGe2)15,32.3,,True,False
EuAg199,,6.5,True,True
EuAg5,,19.0,True,True
EuAl4,,14.0,True,True
EuAu199,,6.5,True,True
EuAu5,,6.6,True,True
EuB6,15.0,14.0,True,True
EuC2,,22.0,True,True
EuCdAg,27.0,,True,True
EuCdAu,25.0,,True,True
EuCu3Pd2,,14.5,True,True
EuCu4Pd,,24.5,True,True
EuCuP,,32.0,True,True
EuDy2O4,,4.175,True,True
EuGeAu,33.0,,True,True
EuH2,,18.3,True,True
EuI2,,5.0,True,True
EuIn2Ni9,,40.0,True,True
EuIn2Pd,14.5,,True,True
EuIn3,,4.5,True,True
EuIn5Ni8,,2.7,True,True
EuIn6Ni7,,36.0,True,True
EuLu2O4,,8.5,True,True
EuMg2,30.0,,True,True
EuMg2Cu9,,25.0,True,True
EuMnO3,,35.0,True,True
EuNi2,,139.0,True,True
EuO,77.0,69.15,True,True
EuO (Europium Oxide),,69.0,True,False
EuO1−x,,127.5,True,False
EuPd,,48.0,True,True
EuPd2,,82.25,True,True
EuPt2,,80.0,True,True
EuRh2Hx,,15.5,True,False
EuS,16.0,16.535,True,True
EuS/PbS,,18.5,True,False
EuScCuS3,,6.4,True,True
EuSe,,4.58,True,True
EuSi2(NO)2,4.5,,True,False
EuSiO4,7.0,,True,True
EuTaMn2O6,,19.5,True,True
EuTiO3,,4.25,True,True
EuTiO3-δ,,5.0,True,False
EuVO3,,120.0,True,True
EuY2Fe5O12,,556.0,True,True
EuZn2,,20.0,True,True
EuZnAg,29.0,29.0,True,True
EuZnAu,51.1,51.1,True,True
EuZnGa3,14.0,14.0,True,True
EuZnPt,20.0,21.2,True,True
EuₓFe4Sb12,,82.0,True,False
F2,,0.0,False,True
FM Nanoparticle,284.0,,False,False
Fe,1043.0,1043.0,False,True
Fe (Iron),1043.0,,False,False
Fe (bcc),1043.0,1043.0,False,False
Fe (with 8-10% Si),,300.0,False,False
Fe(BRh2)3,,240.0,False,False
Fe(BiSe2)2,,450.0,False,False
Fe(CoO2)2,,531.5,False,False
Fe(cryst.),,1040.0,False,False
Fe-0.1%C,,1043.15,False,False
Fe-0.29N,,501.0,False,False
Fe-0.38N,,520.0,False,False
Fe-0.55N,,80.0,False,False
Fe-1.37%C,,478.0,False,False
Fe-1.89at% Mn,,1020.4,False,False
Fe-10wt%Si,,918.15,False,False
Fe-12Al-12Si,,780.0,False,False
Fe-12Cr,1007.0,,False,False
Fe-13%Ga,,993.15,False,False
Fe-15%Si,,823.15,False,False
Fe-15Cr,,984.0,False,False
Fe-16Cr,984.0,,False,False
Fe-17Cr-1Ni,,1031.0,False,False
Fe-20Ni,,953.15,False,False
Fe-21Cr,925.0,,False,False
Fe-23Cr-9Co,,923.15,False,False
Fe-24.5%Ni-10%Co,,473.0,False,False
Fe-25.3%Ni-0.73%C,,195.0,False,False
Fe-25.3%Ni-0.78%C,,195.0,False,False
Fe-26.5Al,,803.15,False,False
Fe-27%Ga,,450.0,False,False
Fe-27.0Ga,,748.15,False,False
Fe-27.1Ge,,533.15,False,False
Fe-27Al,,810.65,False,False
Fe-27Ge,,650.0,False,False
Fe-28%Cr-12%Co-5%Mo-0.5%Ti,,923.15,False,False
Fe-3.00Ti-1.40B,,1039.15,False,False
Fe-3.54Ti-0.63B,,1043.15,False,False
Fe-3.70Ti-0.51B,,1045.15,False,False
Fe-3.80Ti-0.95B,,1046.15,False,False
Fe-30%Cr-15%Co-2%Mo-0.5%Ti,,923.15,False,False
Fe-30%Cr-15%Co-3%Mo-0.5%Ti,,923.15,False,False
Fe-30.2%Ni,,238.5,False,False
Fe-32%Cr,1020.0,,False,False
Fe-3Cr,1049.0,,False,False
Fe-4.00Ti-1.87B,,1043.15,False,False
Fe-4.59Ti-2.67B,,1040.15,False,False
Fe-5.48Ti-1.13B,,1044.15,False,False
Fe-50%Co,,1329.0,False,False
Fe-50%Ni,,803.15,False,False
Fe-50Co,,1253.0,False,False
Fe-5Al-20Si,,790.0,False,False
Fe-6.5wt%Si,,949.15,False,False
Fe-6Al-9Si,,970.0,False,False
Fe-7Al-7Si,,980.0,False,False
Fe-8%Al-3%Ga,,1023.15,False,False
Fe-9Cr,1027.0,,False,False
Fe-Bi2Se3,30.0,,False,False
Fe-Cr (ER 420),,1014.7,False,False
Fe-Cr (up to 12.9% Cr),1200.0,,False,False
Fe-Cr-Nb-B,,318.15,False,False
Fe-Nd-Nb,,806.15,True,False
Fe-Ni,,400.0,False,False
Fe-Pt,750.0,,False,False
Fe-doped 6H-SiC,,438.0,False,False
Fe-doped GaN,100.0,,False,False
Fe-doped ITO,,300.0,False,False
Fe-doped In2O3,300.0,,False,False
Fe-doped TiI3,40.0,,False,False
Fe-doped TiO2,,650.0,False,False
Fe-doped ZnO,273.0,,False,False
Fe-doped ZnS,,300.0,False,False
Fe-doped rutile TiO2,,350.0,False,False
Fe-implanted p-GaN,250.0,,False,False
Fe/Ag,,273.0,False,False
Fe/Al,,540.0,False,False
Fe/Au,1057.0,,False,False
Fe/CNTs,,1038.0,False,False
Fe/CoO,,273.0,False,False
Fe/Cr/Fe,,1043.0,False,False
Fe/EuS,,16.6,True,False
Fe/FeF2,1043.0,,False,False
Fe/Gd,,921.5,True,False
Fe/Gd (35Å/50Å)12,,200.0,True,False
Fe/Tb multilayer,960.0,,True,False
Fe/W(110),,220.0,False,False
Fe0.005Bi1.995Te3,,5.0,False,True
Fe0.019Ge0.981,,300.0,False,True
Fe0.01Ni0.99O1,,300.0,False,True
Fe0.02Ni0.98O1,,300.0,False,True
Fe0.02Sn0.98S1,,300.0,False,True
Fe0.031Ni0.866W0.103,,55.0,False,True
Fe0.04Bi1.96Te3,,8.0,False,True
Fe0.04Si0.96,,26.0,False,True
Fe0.04Sn0.96S1,,300.0,False,True
Fe0.05Ge0.95,233.0,233.0,False,True
Fe0.05Ni0.95O1,,300.0,False,True
Fe0.05Si0.95C1,,270.0,False,True
Fe0.05Sn0.95O2,,431.0,False,True
Fe0.069Ni0.826W0.105,,191.0,False,True
Fe0.06Sn0.94S1,,300.0,False,True
Fe0.076Ni0.835W0.089,,300.0,False,True
Fe0.07Si0.93,,26.0,False,True
Fe0.08Bi1.92Te3,,12.0,False,True
Fe0.08Co0.7Si0.11B0.11,,738.0,False,True
Fe0.08Co0.9Ni0.83,,858.0,False,True
Fe0.08Sn0.92S1,,300.0,False,True
Fe0.118Ni0.81W0.072,,515.0,False,True
Fe0.125Co0.125Sn0.75O2,684.0,,False,True
Fe0.141Ni0.794W0.065,,530.0,False,False
Fe0.14Co2.86Sn2S2,,156.0,False,True
Fe0.14Ge0.86Te1,,160.0,False,True
Fe0.15Ni0.85,,804.0,False,True
Fe0.17Ni0.83,,828.0,False,True
Fe0.181Ni0.789W0.03,,775.0,False,True
Fe0.1Co2.9B1,,825.0,False,True
Fe0.1Ge0.9Te1,,160.0,False,True
Fe0.1Ni0.9,,760.0,False,True
Fe0.1Ni0.9O1,300.0,,False,True
Fe0.1Sn0.9O2,,464.0,False,True
Fe0.1Sn0.9S1,,300.0,False,True
Fe0.25Co0.75Pt1,,850.0,False,True
Fe0.25Co0.75S2,120.0,140.7,False,True
Fe0.25Ge0.75Te1,,160.0,False,True
Fe0.28Co0.72,,1173.15,False,True
Fe0.2Co2.8B1,,883.0,False,True
Fe0.2Ni0.8,,863.15,False,True
Fe0.2Ni0.8O1,300.0,,False,True
Fe0.32Co2.68Sn2S2,,136.0,False,True
Fe0.35Co0.65Si1,,6.1,False,True
Fe0.39Co2.61Sn2S2,,121.0,False,True
Fe0.3Co0.7Si1,,2.6,False,True
Fe0.3Co2.7B1,,874.0,False,True
Fe0.45Co0.55Si1,,28.5,False,True
Fe0.47Ge0.53,,230.0,False,True
Fe0.4Co0.3Si0.3,,972.0,False,True
Fe0.4Co0.4B0.2,,800.0,False,True
Fe0.4Co0.6Si1,,10.8,False,True
Fe0.4Co1.6P1,,140.0,False,True
Fe0.4Ge0.6,300.0,,False,True
Fe0.4Ni0.35B0.25,,637.0,False,True
Fe0.4Ni0.4B0.2,,662.0,False,True
Fe0.54Co2.46O4,,155.0,False,True
Fe0.5Au0.5,,174.0,False,True
Fe0.5B0.5,,1020.15,False,True
Fe0.5Co0.5,1242.0,,False,True
Fe0.5Co0.5Pt1,,850.0,False,True
Fe0.5Co0.5Si1,,40.0,False,True
Fe0.5Co1Rh1.5O4,,160.0,False,False
Fe0.5Co2.5Sn2S2,,101.0,False,True
Fe0.5Ni0.5,,550.0,False,True
Fe0.5Pd0.5,,32.5,False,True
Fe0.5Pt0.5,,382.0,False,True
Fe0.635Ni0.365,,560.0,False,True
Fe0.65Ni0.35,,530.0,False,True
Fe0.6B0.4,,1058.15,False,True
Fe0.6Co0.4)0.75Si0.05B0.20)94Nb4Gd2,,624.0,True,False
Fe0.6Co0.4)0.75Si0.05B0.20)94Nb4Y2,,625.0,True,False
Fe0.6Co0.4)0.75Si0.05B0.20)95Nb4Gd1,,666.0,True,False
Fe0.6Co0.4)0.75Si0.05B0.20)95Nb4Mo1,,660.0,False,False
Fe0.6Co0.4)0.75Si0.05B0.20)95Nb4Y1,,622.0,True,False
Fe0.6Co0.4)0.75Si0.05B0.20)95Nb4Zr1,,658.0,False,False
Fe0.6Co0.4)0.75Si0.05B0.20)96Nb4,,676.0,False,False
Fe0.6Co0.473.5Cu1Nb3Si13.5B9,,623.15,False,False
Fe0.6Co0.4Si1,53.72,,False,True
Fe0.6Co1.4P1,,286.0,False,True
Fe0.6Co2.4B1,,883.0,False,True
Fe0.71Ho0.05B0.24)96Nb4,,440.0,True,False
Fe0.71Tb0.05B0.24)96Nb4,,449.0,True,False
Fe0.71Tm0.05B0.24)96Nb4,,453.0,True,False
Fe0.74P0.26,,580.0,False,True
Fe0.75B0.17W0.05,,450.0,False,True
Fe0.75Co0.25Pt1,,850.0,False,True
Fe0.75Ni3.55,820.0,,False,True
Fe0.78Si0.09B0.13,,710.0,False,True
Fe0.7B0.3,,1065.15,False,True
Fe0.7Co0.3Si1,,52.0,False,True
Fe0.7Cu0.3,,505.0,False,True
Fe0.7Si0.3,,690.0,False,True
Fe0.82B0.18,,617.0,False,True
Fe0.85Ge0.15,,800.0,False,True
Fe0.86B0.14,,556.0,False,True
Fe0.86Se1,,443.0,False,True
Fe0.89Se1,,320.0,False,True
Fe0.8B0.2,,857.075,False,True
Fe0.8Co0.075P0.125,,586.0,False,True
Fe0.8Co0.2Si1,36.0,28.0,False,True
Fe0.8Co1.2P1,,407.0,False,True
Fe0.91B0.09,,944.0,False,True
Fe0.95Co0.05Ge1,,274.2,False,True
Fe0.975Ni0.025P1,,313.0,False,True
Fe0.98C0.02,,1000.0,False,True
Fe0.98Co0.02Si2,,1094.15,False,True
Fe0.9B0.1,,1066.15,False,True
Fe0.9Co0.1Ge1,,269.4,False,True
Fe0.9Co0.1Si1,53.0,24.0,False,True
Fe0.9Co2.1B1,,923.0,False,True
Fe0.9PS3(Phen)0.4,,15.0,False,False
Fe0.9Si1Rh0.1,,13.0,False,False
Fe0.9Si1Ru0.1,,14.0,False,False
Fe0.9^3+Mg0.1^2+[Mg0.9^2+Fe1.1^3+]O4,,713.0,False,False
Fe1-xSix (x ≈ 0.25),860.0,,False,False
Fe1.05Sb0.02Te0.49Se0.49,,8.0,False,True
Fe1.24Co0.76P1,,459.0,False,True
Fe1.2Co0.1Si0.4P0.6,597.918282095299,370.893374987114,False,True
Fe1.2Co0.2Si0.4P0.6,605.297634788377,416.110735111537,False,True
Fe1.2Co0.4Si0.4P0.6,620.053202694647,470.59621082072,False,True
Fe1.2Co0.8P1,,453.0,False,True
Fe1.2Cu1.4Ge0.4O4,,543.0,False,True
Fe1.2Si0.4P0.6,573.514963538001,344.601293538136,False,True
Fe1.333P1Rh0.666,,290.0,False,False
Fe1.3Co0.7P2,,230.0,False,True
Fe1.4Co0.6P1,,450.0,False,True
Fe1.4Co1.6Si1,,1058.0,False,True
Fe1.5Co0.5P2,,450.0,False,True
Fe1.5Co1.5Si1,,1069.0,False,True
Fe1.5Co1Ni0.5O4,,400.0,False,True
Fe1.5Co3.5B2P1,,152.0,False,True
Fe1.6/V5,,200.0,False,False
Fe1.6Co1.4Si1,,1059.0,False,True
Fe1.6Ge1,,427.0,False,True
Fe1.75Co0.2Si0.2P0.8,,480.0,False,True
Fe1.75Ge1,,510.0,False,True
Fe1.7Co0.3P2,,480.0,False,True
Fe1.7Co1Ni0.3O4,,400.0,False,True
Fe1.8Co0.1Si0.2P0.8,,499.536325293915,False,True
Fe1.8Co0.2B0.12P0.88,,412.0,False,True
Fe1.8Co0.2Si0.2P0.8,,571.5675073618725,False,True
Fe1.8Co0.3Si0.2P0.8,631.599128677014,508.625604525142,False,True
Fe1.8Co0.4Si0.2P0.8,657.891210125992,495.187778171208,False,True
Fe1.8Co0.5Si0.2P0.8,663.375524967617,513.91853309369,False,True
Fe1.8Co0.6Si0.2P0.8,657.514712539611,498.588806368188,False,True
Fe1.8Co0.7Si0.2P0.8,659.212089158214,498.403695054883,False,True
