composition,Tc_exp
0.7BiFeO3-0.3BaTiO3,267.0
0.7FeTiO3–0.3Fe2O3,300.0
0.80ZnO-0.20CoFe2O4,370.0
0.85 CoFe2O4 - 0.15 PbTiO3,750.0
0.8BiFeO3-0.2BaTiO3,271.0
0.9BiFeO3-0.1BaTiO3,255.0
16MnR,1041.0
3C-Si35FeC37,300.0
50NiFe2O4 + 50CoFe2O4,820.15
53.5Ni–19.5Fe–27.0Ga,322.0
54.0Ni–19.0Fe–27.0Ga,310.0
55.0Ni–18.0Fe–27.0Ga,302.0
6H-SiC:Cr,69.8
79Ni16Fe5Mo,673.0
Ag-doped ZnO,400.0
Ag0.05Ga0.95CFe3,546.0
Ag0.113Co0.887,770.85
Ag0.265Co0.735,739.65
Ag0.28Co0.72,733.55
Ag0.726Co0.274,731.75
Ag0.875Co0.125,725.55
Ag0.9K0.1NbO3,525.0
Ag1,0.0
Ag1Cr4In1Se8,50.0
Ag2FeGeSe4,70.0
Ag2MnGeSe4,64.0
AgAuCd2,310.0
AgCrS2,673.0
AgF3Ni,197.0
AgI,535.5
AgSb2U,92.0
Al-1at%Fe,833.0
Al-doped Coq2,300.0
Al0.2CoFe1.8O4,773.0
Al0.2Fe1.8Ti,43.0
Al0.4Fe1.6Ti,151.0
Al0.5Co2FeSi0.5,1107.0
Al0.5Co2MnSi0.5,931.0
Al0.6(Co50Cu50)0.4,837.35
Al0.6(Co75Cu25)0.4,843.85
Al0.6(Fe0.5Ni0.5)0.4,853.15
Al0.6Fe1.4Ti,143.0
Al0.75CoSn0.25U,5.5
Al0.7Si0.3Fe2B2,306.0
Al0.89Mn1.11,540.5
Al0.8Fe1.2Ti,73.0
Al0.8Ga0.2Fe2B2,304.0
Al0.8Si0.2Fe2B2,306.0
Al0.921Mg0.079N,380.0
Al0.94Cr0.06N,340.0
Al0.967Mg0.033N,380.0
Al0.988Mg0.012N,380.0
Al0.99825Mn0.00175N,300.0
Al0.99951Zn0.00049N,300.0
Al0.99972Mn0.00028N,300.0
Al0.99975Zn0.00025N,300.0
Al0.99982Zn0.00018N,300.0
Al0.9Ga0.1Fe2B2,300.0
Al0.9Ge0.1Fe2B2,300.9
Al0.9Si0.1Fe2B2,294.0
Al1,0.0
Al1.05Si0.15Fe2B2,300.0
Al1.1Fe2B2,275.0
Al1.2(Fe0.95Ni0.05)2B2,288.0
Al1.2(Fe0.9Ni0.1)2B2,291.0
Al1.2Fe2(B0.9C0.1)2,305.0
Al1.2Fe2B2,284.0
Al19.6Cr20.1Fe20.4Co20.3Ni19.8,913.15
Al1Fe1Mg1O4,273.0
Al1Fe1O3,300.0
Al1Fe2O4,590.0
Al23Fe77O150,810.0
Al2Ba1Fe10O19,618.0
Al2Fe1O4,9.5
Al2Ga1,176.0
Al2Np,56.0
Al33Fe217Li50O400,1071.0
Al3Au10Mn7,314.0
Al3B6Co12Fe8,815.0
Al3B6Co16Fe4,623.0
Al3B6Co2,406.0
Al3B6Co20,409.0
Al3B6Fe8Ni12,285.0
Al3Co6Fe6Cr2,1052.0
Al3Co7Fe7,1254.0
Al3Np1,62.5
Al3Pd2U1,2.0
Al45Mn55,635.0
Al4Ba1Fe8O19,514.0
Al4Fe8U,480.0
Al5Ba4Fe19O44Zn4,370.0
Al6.5Fe5.5Hf,230.0
Al6.5Fe5.5Zr,233.0
Al65Cu20Fe15,900.0
Al6Ba1Fe6O19,414.0
Al6Cr37Fe24Co21Ni12,913.15
Al6Fe6Hf,187.0
Al6Fe6U,344.5
Al6Fe6Zr,180.0
Al6Ni19,72.0
Al7.5Ni13Ti6.0Cu3.0Nb1.2Co34Fe34.7Ta0.6,1130.0
Al7.5Ni13Ti6.0Cu3.0Nb1.2Co34Fe35.3,1117.0
Al70Pd20Mn10,290.0
Al7Fe5Hf,263.0
Al7Fe5U,264.5
Al7Fe5Zr,271.0
Al8Ba1Fe4O19,314.0
Al8Fe17Li5O40,650.0
Al8Fe4Np,130.0
Al8Fe4Th1,147.2
Al8Fe4U,148.0
Al9Fe171Zr20,286.0
Al9Mn3U,30.0
AlAu2Mn,216.5
AlB2Fe2,282.0
AlC1.1Fe3,292.0
AlC1.1Mn3,364.0
AlCCr2,73.0
AlCMn3,289.5
AlCNi3,300.0
AlCo0.25Ru0.75U,7.5
AlCo0.26Ru0.74U,8.5
AlCo0.38Ru0.62U,38.25
AlCo0.3Ru0.7U,17.5
AlCo0.98Os0.02U,26.0
AlCo0.995Ru0.005U,4.5
AlCo0.99Ru0.01U,18.0
AlCo0.9Os0.1U,48.0
AlCo2Cr,334.0
AlCo2Fe,1049.0
AlCo2Hf,193.0
AlCo2Mn,695.0
AlCo2Nb,383.0
AlCo2Ta,260.0
AlCo2Ti,134.0
AlCo2V,310.0
AlCo2Zr,178.0
AlCoCr,18.0
AlCoCr2,750.0
AlCoCrCuFeNi,330.0
AlCoCrFe,460.0
AlCoCrFe0.25,165.0
AlCoCrFe0.5,292.0
AlCoCrFe0.75,392.0
AlCoCrFeNi,890.15
AlCoCrFeNiMn,540.0
AlCoFeO4,420.0
AlCoMn2,720.0
AlCr0.1GeMn0.9,573.4
AlCr0.2GeMn0.8,592.0
AlCrFe2,246.0
AlCrFeCoNi,503.15
AlCrNi2,140.0
AlCu2Mn,603.0
AlCuFe2,875.0
AlFe,346.5
AlFe0.1GeMn0.9,431.2
AlFe0.2GeMn0.8,349.0
AlFe0.8Mn1.2B2,43.0
AlFe1.2Mn0.8B2,188.0
AlFe1.35Mn0.65B2,220.0
AlFe1.6Mn0.4B2,242.0
AlFe2B2,284.0
AlFe2Mn,150.0
AlFe2Ni,965.0
AlFe2Ti,123.0
AlFe2V,7.0
AlFe3,573.0
AlFeHf,38.0
AlFeMnB2,159.5
AlFeO3,265.0
AlFeTi,17.0
AlGeMn,510.1
AlIrMn,400.0
AlIrU,64.0
AlMn,650.0
AlMn2V,760.0
AlMnRh2,95.0
AlNFe3,770.0
AlNi3,47.5
AlNiCo5,1123.15
AlPtU,44.0
AlRhU,27.0
Am1,0.0
Am1Fe2,544.0
As0.1CoS1.9,90.0
As0.25CoS1.75,12.0
As0.33FeMnP0.67,225.0
As0.55FeMnP0.45,300.0
As0.67FeMnP0.33,325.0
As1,0.0
As100Fe67Mn128,153.0
As100Fe76Mn119,127.0
As1Fe10P4,411.0
As1Fe20P9,358.0
As25Ga23Mn2,170.0
As2BaCrNi,64.0
As2CoU,144.0
As2Cr2Sr,265.0
As2Cr3,213.0
As2Cu2U,140.0
As2CuMn2O2Sr2,95.0
As2CuO4,7.5
As2CuU,133.0
As2GeMn,340.0
As2Mn2Zn1,30.0
As2Mn3,273.0
As2MnSn,328.0
As3Fe10P2,470.0
As3Fe20P7,443.0
As3Mn4,126.0
As4U3,199.0
As5Cr1Mn4,200.0
As5Cr2Mn3,160.0
As7Ca2Co12,38.0
As9Mn10P1,240.0
AsCm,88.0
AsCo2,12.0
AsCoFe,293.0
AsCoMn,350.0
AsCrNi,188.0
AsCrRu,164.0
AsFeMn,190.0
AsMn,318.0
AsMnPd,210.0
AsMnRh,218.0
AsMnRu,496.0
AsPu,125.0
AsSU,124.0
AsSeU,113.0
AsTeU,66.0
Au-Co,1395.0
Au0.5Fe0.5,174.0
Au0.7(Ni80Fe20)0.3,200.0
Au0.7(Ni80Fe20)0.3 (annealed),300.0
Au1,0.0
Au16Cr2Mn1V1,200.0
Au16Fe1V3,66.0
Au20Cr1Mn4,332.5
Au20Cr2Mn3,250.0
Au20Cr3Mn2,202.5
Au20Cr4Mn1,97.5
Au2In1Mn1,140.0
Au2Mn1,363.0
Au2MnZn,253.0
Au2Si2U,55.0
Au39Fe11,220.0
Au400Fe7V93,75.0
Au40Mn1V9,150.0
Au4Fe1,210.0
Au4Mn1,363.0
Au4V,57.0
Au5Mn2,100.0
Au70Fe30,415.0
Au799Mn201,377.0
Au80Fe1V19,56.5
Au80Fe20,290.0
Au80Fe3V17,57.0
Au80Fe7V13,67.0
Au80Fe9V11,26.0
Au82Fe18,153.6
Au83Fe17,148.0
Au87Fe13,40.0
AuBi2U,22.5
AuCuZn2,28.0
AuIn2,3.5e-05
AuMnSb,135.0
AuMnSn,612.5
AuSb2U,36.0
AuSi3U2,11.6
B0.09Fe0.91,944.0
B0.11Si0.11Fe0.08Co0.70,738.0
B0.13Si0.09Fe0.78,710.0
B0.14Fe0.86,556.0
B0.17W0.05Fe0.75,450.0
B0.18Fe0.82,617.0
B0.20Fe0.40Co0.40,800.0
B0.20Fe0.40Ni0.40,662.0
B0.20Fe0.80,651.0
B0.25Fe0.40Ni0.35,637.0
B0.25Si0.05Co0.70,539.0
B1,0.0
B1Fe10P4,512.0
B1Fe1O3,350.0
B1Fe20P9,391.0
B1Fe2Ni2,535.0
B1Fe3O6,508.0
B1Fe40P19,291.0
B1Fe50P24,350.0
B1O3V1,32.5
B2CRh2U,185.0
B2Co0.5Fe4.5P,563.0
B2Co1.5Fe3.5P,400.0
B2Co2.5Fe2.5P,278.0
B2Co2Fe3P,335.0
B2Co3.5Fe1.5P,152.0
B2Co3Fe2P,209.0
B2CoFe4P,498.0
B2CoFe4Si,675.0
B2Fe4MnP,650.0
B2Fe4MnSi,770.0
B2Fe50P23,450.0
B2Fe5P,628.0
B2Fe5Si,784.0
B2Mn,143.0
B2Mn5P,302.0
B2Mn5Si,404.5
B3C3Fe23,742.0
B3CoRh6,150.0
B3Fe30P7,758.0
B3FeRh6,240.0
B4Cr1Mn2,440.0
B4Fe15P1,806.0
B4Mn2.94Ni0.06,146.0
B4Mn2Mo,590.0
B4Mn2Ta1,780.0
B4Mn2W1,560.0
B6Co20Ti3,478.0
B6Co21Ge2,467.0
B6Co21Mo2,545.0
B6Co21Nb2,491.0
B6Co21Sn2,425.0
B6Co21W2,538.0
B7I1Ni3O13,62.0
B8Fe3Nb7,240.0
B8Fe3Ta7,265.0
BCo,477.0
BCo11Hf2,770.0
BCo2,427.5
BCo2.1Fe0.9,923.0
BCo2.4Fe0.6,883.0
BCo2.7Fe0.3,825.0
BCo2FeO5,70.0
BCo3,748.5
BCo3O5,42.0
BCo4Th,302.5
BCu2MnO5,93.0
BFe,573.0
BFe14Th2,481.0
BFe2,1015.0
BFe3,833.5
BH3O3,62.0
BMn,575.0
BMnO4Pb,31.0
Ba(Ti0.93Fe0.07)O3,565.0
Ba(Ti0.9Fe0.1)O3,130.0
Ba(Ti0.9Fe0.1)O3 with 10 at% Nb,100.0
Ba(Ti0.9Fe0.1)O3 with 8 at% Nb,130.0
Ba(ZnSn)0Fe12O19,705.15
Ba(ZnSn)1.0Fe10O19,503.15
Ba0.5Sr1.5FeVO6,722.0
Ba0.6Co2Fe24O41Sr2.4,669.0
Ba0.7K0.3(Zn0.85Mn0.15)2As2,180.0
Ba0.85K0.15(Zn0.9Mn0.1)2As2,230.0
Ba1,0.0
Ba1.5Sr0.5FeVO6,730.0
Ba1.8K0.2FeMoO6,260.0
Ba14MnSb11,20.0
Ba1Co1Fe14O23,740.0
Ba1F2Fe12O19,710.0
Ba1Fe12O12Sr1Zn2,333.0
Ba1Fe14O23Zn1,705.0
Ba1Fe1O3,180.0
Ba1Fe2Mo2O12Sr3,413.0
Ba1Fe30O30Sr4Zn5,400.0
Ba1O3V1,77.0
"Ba2(Fe,Re)2O6",385.0
"Ba2(Fe,Re0.5W0.5)2O6",300.0
"Ba2(Fe,Re0.8W0.2)2O6",338.0
"Ba2(Fe,W0.5Mo0.5)2O6",270.0
Ba2.6Co2Fe24O41Sr0.4,683.0
Ba20Fe20O59,190.0
Ba21Fe25Mo25O150Sr29,399.0
Ba2Co2Fe12O22,613.0
Ba2CrMo0.5W0.5O6,285.0
Ba2CrMo0.8W0.2O6,308.0
Ba2CrMoO6,335.0
Ba2Fe1.0Mo1.0O6,340.0
Ba2Fe1.1Mo0.9O6,346.5
Ba2Fe1.2Mo0.8O6,340.0
Ba2Fe1.3Mo0.7O6,340.0
Ba2Fe12Mg2O22,301.5
Ba2Fe12Ni2O22,663.0
Ba2Fe12O22Zn2,403.0
Ba2Fe18O30Zn1,673.0
Ba2Fe1Mo1O6,355.0
Ba2Fe22Ir1O38Zn1,563.0
Ba2FeMo0.5Re0.5O6,370.0
Ba2FeMoO6,325.5
Ba2FeO6Re,325.0
Ba2FeReO6,311.5
Ba2FeVO6,716.0
Ba2Mg2Fe12O22,553.0
Ba2MnO6Re,110.0
Ba2MnReO6,120.0
Ba2NaO6Os,6.8
Ba2Ni2Fe12O22,661.375
Ba2Ni2Fe28O46,755.15
Ba2Ni3Fe14O14.7(OH)22.61·6.6H2O,765.65
Ba2NiOsO6,108.0
Ba2Zn2Fe12O22,403.0
Ba3Co1.0Zn1.0Fe24O41,658.15
Ba3Co1.2Zn0.8Fe24O41,675.15
Ba3Co1.4Zn0.6Fe24O41,677.15
Ba3Co1.6Zn0.4Fe24O41,679.15
Ba3Co1.8Zn0.2Fe24O41,681.15
Ba3Co2Fe23.4Ti0.6O41,645.15
Ba3Co2Fe23.55Ti0.45O41,673.15
Ba3Co2Fe23.7Ti0.3O41,681.15
Ba3Co2Fe23.85Ti0.15O41,687.15
Ba3Co2Fe24O41,683.0
Ba3Fe1O9U2,123.0
Ba3Fe24O41Zn2,633.0
Ba3Fe5Mo5O30Sr7,410.0
Ba3Fe60O60Sr7Zn10,323.0
Ba3Ni2Fe24O41,691.05
Ba3Zn2Fe24O41,633.0
Ba4.4Cu2Fe37.6O62.8,693.15
Ba4Co2Fe36O60,569.8333333333335
Ba4Cu2Fe36O60,709.075
Ba4Fe2Fe36O60,730.0
Ba4Fe30O30Sr1Zn5,358.0
Ba4Mg2Fe36O60,700.0
Ba4Mn2Fe36O60,688.0
Ba4Ni2Fe36O60,576.775
Ba4Zn2Fe36O60,404.0
Ba5Fe12Mg2O31Ti3,391.0
Ba5Fe12O31Ti3Zn2,310.0
Ba5Fe2-x2+Fe12+2x3+Ti3-xO31,633.0
Ba71Fe50Mo50O300Sr29,372.0
BaAl1Fe11O19,655.15
BaAl2.0Fe10.0O19,605.15
BaAl6Fe6O19,571.15
BaAlFe11O19,758.15
BaBiFe11O19,751.15
BaCaCo4O7,65.0
BaCaFe4O7,270.0
BaCo0.8Ti0.8Fe10.4O19,624.15
BaCo0.90Mn0.10O3-δ,42.0
BaCo1−xZnxFe6O11,595.0
BaCo2Fe14.2In1.8O27,571.0
BaCo2Fe16O27,753.0
BaCo3(P2O7)2,8.0
BaCoO3,53.0
BaCoZn0.4Mg0.6Fe16O27,783.0
BaCoZn0.5Mg0.5Fe16O27,800.0
BaCoZn0.6Mg0.4Fe16O27,765.0
BaCoZn0.7Mg0.3Fe16O27,753.0
BaCoZn0.8Mg0.2Fe16O27,737.0
BaCoZn0.9Mg0.1Fe16O27,722.0
BaCoZn1-xMgxFe16O27,790.0
BaCr2Se4,125.0
BaCrFe11O19,752.15
BaCrO3,192.0
BaFe10(Ti0.5Co0.5)2O19,579.0
BaFe10.5Al1.5O19,624.0
BaFe10.5In1.5O19,410.0
BaFe10.8Al1.2O19,670.0
BaFe10.8In1.2O19,550.0
BaFe10Al2O19,710.15
BaFe11(Ti0.5Co0.5)O19,657.0
BaFe11.1Al0.9O19,680.0
BaFe11.1In0.9O19,650.0
BaFe11.4Al0.6O19,690.0
BaFe11.4In0.6O19,670.0
BaFe11.5Al0.5O19,683.0
BaFe11.7Al0.3O19,700.0
BaFe11.7In0.3O19,687.5
BaFe11.9Al0.1O19,705.0
BaFe11.9Ga0.1O19,660.0
BaFe11.9In0.1O19,695.0
BaFe11Al1.0O19,653.0
BaFe11AlO19,669.0
BaFe12O19,725.0
BaFe12O19/Ni0.5Zn0.5Fe2O4 (70/30 wt ratio),746.15
BaFe16Ni2O27,793.0
BaFe17O27Zn,703.0
BaFe18O27,728.0
BaFe2O4,707.5
BaFe2O8P2,65.5
BaFe4Sb12,0.35
BaFe7(Ti0.5Co0.5)5O19,219.0
BaFe8(Ti0.5Co0.5)4O19,404.0
BaFe9(Ti0.5Co0.5)3O19,479.0
BaFe9.5(Ti0.5Co0.5)2.5O19,491.0
BaIr0.99657Fe0.004O3,180.0
BaIrO3,175.0
BaMnFe11O19,697.15
BaNi2Fe16O27,805.375
BaNi3Fe18O15.9(OH)30.2·11.5H2O,790.65
BaO3Ru,60.0
BaOs4Sb12,0.35
BaRu4Sb12,0.35
BaSe3V,43.0
BaSn0.95Fe0.04W0.01O3,310.0
BaSn0.96Fe0.04O3,462.0
BaSrFeVO6,713.0
BaTi0.7Fe0.3O3,462.0
BaTi0.94Cr0.06O3,413.0
BaTi0.96Cr0.04O3,405.0
BaTi0.98Cr0.02O3,404.0
BaTi0.98Fe0.02O3-δ,680.0
BaTiO3-NiZnFe2O4,775.0
BaTiO3:N,300.0
BaVSe3,41.2
BaVSe3:BaSe3,40.8
BaZnFe17O27,703.0
BaZnFe6O11,373.0
Be0.73Cr0.27Te,250.0
Be0.83Cr0.17Te,170.0
Be0.87Cr0.13Te,170.0
Be1,0.0
Be12Cr,50.0
Be13U1,0.9
Be179Cu21Ti100,13.0
Be2Fe0.43Os0.57,350.0
Be2Fe0.48Ru0.52,340.0
Be3Cu1Ti2,33.0
Be43Cu7Ti25,15.0
Be46Cu4Ti25,7.5
Be5Fe1,174.0
Be77Cu23Ti50,28.0
Be81Cu19Ti50,22.0
Bi0.05SnSe2,65.0
Bi0.080Co1.817Mn1.182O4,176.0
Bi0.085Co1.851Mn1.134O4,181.0
Bi0.1Co1.9MnO4,182.0
Bi0.2Co1.8MnO4,185.0
Bi0.3Co1.7MnO4,186.0
Bi0.5Ca0.5Mn0.88Cr0.12O3,72.6
Bi0.67Sr0.33MnO3,300.0
Bi0.7Sr0.3MnO3,100.0
Bi0.85Ba0.15FeO3,1189.0
Bi0.89Ti0.11FeO3,1123.15
Bi0.8Ca0.2FeO3,1103.0
Bi0.95Pb0.05Fe0.85Mn0.15O3,1103.15
Bi0Co2MnO4,182.0
Bi1,0.0
Bi1.6Pb0.4Sr2Co2Oy,4.5
Bi1.91Mn0.09Te3,12.5
Bi1.92Fe0.08Te3,12.0
Bi1.95Mn0.05Te3,11.0
Bi1.96Fe0.04Te3,8.0
Bi1.96Mn0.04Te3,9.0
Bi1.975Mn0.025Te3,5.3
Bi1.995Fe0.005Te3,5.0
Bi1Ca9Mn10O30,114.0
Bi2CoMnO6,800.0
Bi2Cu5B4O14,25.0
Bi2FeSe4,450.0
Bi2MnMoO6,44.0
Bi2MnNiO6,140.0
Bi2O3-ZnO-Fe2O3,450.0
Bi2Sr2Co2Oy,2.5
Bi3Ca17Mn20O60,126.0
Bi3Fe3.34Ga1.66O12,316.0
Bi3Fe5O12,643.0
Bi4Ca1Mn5O15,90.0
Bi4U3,110.0
Bi5Fe0.5Co0.5Ti3O15,618.15
Bi5Ti3Co0.5Fe0.5O15,618.15
Bi5Ti3Fe0.5Ni0.5O15,726.0
Bi6Fe1.4Ni0.6Ti3O18,788.0
BiFe0.2Mn0.8O3,100.0
BiMn,712.0
BiMn0.95Fe0.05O3,109.0
BiMn1.08,473.0
BiMnO2.93,37.0
BiMnO3,103.75
Bk1,0.0
Bk1N1,87.0
Br1,0.0
Br1Cr10Cu5Se19,400.0
Br2Cl2CrRb2,57.0
Br3Cr,37.0
Br4C14CrH20N2,52.0
Br4Cr10Cu5Se16,300.0
BrCl3CrRb2,55.0
BrCr2CuS3,264.0
BrCr2CuSe3,354.0
BrCr2CuTe3,290.0
BrCu4FH6O6,15.4
C-doped ZnO,773.15
C-doped ZnS,300.0
C0.004%Au,210.0
C0.07Cr0.10P0.13Fe0.70,360.0
C0.09Ni0.91,164.0
C0.117%Co,350.0
C0.15Ni0.85,11.0
C0.25Mn4N0.75,850.0
C0.303Mn4N0.697,848.0
C0.5Fe2MnN0.5Zn,302.0
C0.78GaMn3,295.0
C1,0.0
C11Mn250Si150,156.0
C13Cl12,470.0
C13H16N3O4,0.65
C14Cl4CrH20N2,37.0
C16Cl4CuH24N2,9.439
C19Np20,190.0
C1Np1,210.0
C20Cl4CuH48N2,7.92
C2Cl4CuH12N2,8.895
C2Fe5,521.0
C2RhU2,13.0
C3Fe32P5,586.0
C3Fe7,523.0
C3Np2,109.0
C4F0.6H6.3K2N4O3Pt,770.0
C4H16N10O6S4Zn,173.0
C5FeH4N6O3Sr,29.0
C6Fe21Mo2,492.0
C6Fe21W2,1006.0
C6Fe85Th10,462.0
C8H14CrCoNO13,11.0
C8H14FeMnNO13,27.0
C8H14FeNiNO13,43.0
C8N3F4S2,36.0
CCo2Mn2,808.0
CF3H11O8S,62.0
CF3H9O7S,111.0
CFO (CoFe2O4),793.0
CFe0.2Mn2.8Sn,238.0
CFe3,484.0
CFe3Ga,510.0
CFe3Zn,363.0
CFe5Si,780.0
CFe8Si2,650.0
CGa0.92Mn3.08,323.5
CGaMn2.9Ni0.1,265.0
CGaMn3,250.0
CH4N2S,12.0
CHA2CuBr4,3.98
CMn3Si0.1Sn0.9,225.0
CMn3Sn,272.0
CMn3Zn,470.0
CMn5Si,284.0
CMn8Si2,230.0
CMn9Si2,220.0
CPA2CuCl4,4.8
Ca0.2Sr0.8RuO3,163.0
Ca0.4Sr0.6RuO3,158.0
Ca0.55Sr0.45Zn0.88Fe11.6O27,623.15
Ca0.5O3RuSr0.5,54.0
Ca0.6Sr0.4RuO3,147.0
Ca0.71Sr0.71Zn1.16Fe15.99O26.57,623.15
